Id,PesoPrimaPulituraG,PesoDopoPulituraG,LarghCapolinoCm,AltezzaCapolinoCm,Species
112,296.4,112.7,13.3,8.9,MZFCUP3
113,296.8,113,13.5,9.1,MZFCUP3
114,295.7,112.5,13,9,MZFCUP3
115,295.8,112.8,13.1,9.4,MZFCUP3
116,296.4,113.2,13.3,9.3,MZFCUP3
117,296.5,113,13.5,8.8,MZFCUP3
118,297.7,113.8,14.7,9.2,MZFCUP3
119,297.7,112.6,14.9,9.3,MZFCUP3
120,296,112.2,13,8.5,MZFCUP3
121,296.9,113.2,13.7,9.3,MZFCUP3
122,295.6,112.8,12.9,9,MZFCUP3
123,297.7,112.8,14.7,9,MZFCUP3
124,296.3,112.7,12.9,8.8,MZFCUP3
125,296.7,113.3,13.7,9.1,MZFCUP3
126,297.2,113.2,14,8.8,MZFCUP3
127,296.2,112.8,12.8,8.8,MZFCUP3
128,296.1,113,12.9,8.8,MZFCUP3
129,296.4,112.8,13.6,9.1,MZFCUP3
130,297.2,113,13.8,8.6,MZFCUP3
131,297.4,112.8,14.1,8.9,MZFCUP3
132,297.9,113.8,14.4,9,MZFCUP3
133,296.4,112.8,13.6,9.2,MZFCUP3
134,296.3,112.8,13.1,8.5,MZFCUP3
135,296.1,112.6,13.6,8.4,MZFCUP3
136,297.7,113,14.1,9.3,MZFCUP3
137,296.3,113.4,13.6,9.4,MZFCUP3
138,296.4,113.1,13.5,8.8,MZFCUP3
139,296,113,12.8,8.8,MZFCUP3
140,296.9,113.1,13.4,9.1,MZFCUP3
141,296.7,113.1,13.6,9.4,MZFCUP3
142,296.9,113.1,13.1,9.3,MZFCUP3
143,295.8,112.7,13.1,8.9,MZFCUP3
144,296.8,113.2,13.9,9.3,MZFCUP3
145,296.7,113.3,13.7,9.5,MZFCUP3
146,296.7,113,13.2,9.3,MZFCUP3
147,296.3,112.5,13,8.9,MZFCUP3
148,296.5,113,13.2,9,MZFCUP3
149,296.2,113.4,13.4,9.3,MZFCUP3
150,295.9,113,13.1,8.8,MZFCUP3
